,LAA,Bal,Bos,ChW,Cle,Det,Hou,Kan,Min,NYY,Oak,Sea,Tam,Tex,Tor,Ari,Atl,ChC,Cin,Col,Mia,LAD,Mil,NYM,Phi,Pit,Sand,Sanf,StL,Was
0,.350,.507,.543,.436,.529,.593,.571,.507,.386,.386,.386,.543,.579, Phi,.529,.550,.429,.536,.507,.429,.536,.557,.436,.429,.429,.514,.529,.443,.500,.621
1,.350,.507,.543,.436,.529,.593,.571,.507,.386,.386,.543,.564,.579, Phi,.529,.550,.429,.536,.507,.429,.536,.557,.436,.429,.457,.514,.529,.443,.500,.621
2,.507,.450,.450,.436,.543,.593,.571,.571,.386,.386,.543,.564,.579,.386,.529,.550,.507,.536,.507,.514,.536,.557,.436,.429,.457,.514,.386,.443,.500,.429
3,.507,.450,.450,.507,.543,.536,.543,.571,.386,.386,.543,.564,.579,.386,.350,.500,.507,.507,.507,.514,.507,.436,.443,.550,.529,.621,.386,.557,.429,.429
4,.507,.450,.450,.507,.543,.536,.543,.571,.529,.543,.579,.564,.436,.386,.350,.500,.507,.507,.507,.514,.507,.436,.443,.550,.529,.621,.386,.557,.429,.429
5,.507,.436,.564,.507,.593,.536,.543,.350,.529,.543,.579,.457,.436,.543,.350,.500,.536,.507,.550,.507,.507,.436,.443,.550,.529,.621,.507,.557,.429,.514
6,.386,.436,.564,.507,.593,.593,.507,.350,.529,.543,.579,.457,.436,.543,.529,.579,.536,.436,.550,.507,.536,.564,.557,.429,.429,.529,.507,.507,.536,.514
7,.386,.436,.564,.443,.593,.593,.507,.350,.621,.386,.457,.457,.543,.543,.529,.579,.536,.436,.550,.507,.536,.564,.557,.429,.429,.529,.507,.507,.536,.514
8,.564,.436,.450,.443,.571,.593,.386,.350,.621,.386,.457,.507,.543,.529,.529,.529,.500,.436,.557,.507,.536,.536,.557,.429,.429,.529,.507,.507,.536,.500
9,.564,.507,.450,.350,.571,.436,.386,.386,.507,.386,.457,.507,.543,.529,.593,.529,.500,.507,.557,.507,.436,.536,.507,.550,.443,.429,.621,.543,.536,.500
10,.564,.507,.450,.350,.571,.436,.386,.386,.507,.450,.571,.579,.543,.529,.593,.529,.500,.507,.557,.386,.436,.536,.507,.550,.443,.429,.621,.543,.514,.500
11,.529,.507,.457,.350,.429,.436,.386,.386,.507,.450,.571,.579,.543,.543,.593,.529,.536,.507,.536,.386,.436,.529,.507,.550,.443,.429,.621,.543,.514,.507
12,.529,.450,.457,.571,.429,.443,.436,.579,.429,.450,.571,.579,.543,.543,.350,.557,.536,.507,.536,.386,.514,.529,.429,.500,.550,.593,.507,.564,.514,.507
13,.529,.450,.457,.571,.429,.443,.436,.579,.429,.436,.571,.579,.543,.543,.350,.557,.536,.621,.536,.500,.514,.529,.429,.500,.550,.593,.507,.564,.536,.507
14,.350,.450,.507,.571,.457,.443,.436,.579,.429,.436,.386,.543,.507,.543,.350,.557,.507,.621,.443,.500,.514,.536,.429,.500,.550,.507,.507,.564,.536,.529
15,.350,.507,.507,.429,.457,.543,.386,.564,.436,.529,.386,.543,.507,.571,.543,.514,.507,.621,.443,.500,.514,.536,.429,.507,.436,.507,.621,.507,.536,.529
16,.350,.507,.507,.429,.457,.543,.386,.564,.436,.529,.386,.543,.507,.571,.543,.514,.507,.557,.443,.500,.550,.536,.507,.507,.436,.507,.621,.507,.536,.529
17,.557,.507,.593,.429,.457,.543,.386,.564,.436,.529,.450,.579,.457,.571,.543,.514,.429,.557,.443,.429,.550,.507,.507,.507,.436,.507,.621,.507,.536,.507
18,.557,.543,.593,.536,.386,.564,.386,.579,.386,.571,.450,.579,.457,.450,.457,.536,.429,.557,.429,.429,.550,.507,.507,.507,.621,.507,.507,.443,.536,.507
19,.557,.543,.593,.536,.386,.564,.436,.579,.386,.571,.450,.579,.457,.450,.457,.536,.429,.514,.429,.429,.500,.507,.529,.507,.621,.507,.507,.443,.436,.507
