Teams,Road Games,Home Games
LAA,51.0,59.0
Bal,53.0,57.0
Bos,52.0,58.0
ChW,57.0,53.0
Cle,57.0,53.0
Det,58.0,52.0
Hou,55.0,55.0
Kan,56.0,54.0
Min,56.0,54.0
NYY,52.0,58.0
Oak,60.0,50.0
Sea,54.0,56.0
Tam,57.0,53.0
Tex,54.0,56.0
Tor,57.0,53.0
Ari,57.0,53.0
Atl,50.0,60.0
ChC,53.0,57.0
Cin,57.0,53.0
Col,54.0,56.0
Mia,58.0,52.0
LAD,58.0,52.0
Mil,56.0,54.0
NYM,58.0,52.0
Phi,51.0,59.0
Pit,54.0,56.0
Sand,56.0,54.0
Sanf,53.0,57.0
StL,53.0,57.0
Was,54.0,56.0
