Teams,Road Games,Home Games
LAA,81.0,81.0
Bal,81.0,81.0
Bos,81.0,81.0
ChW,81.0,81.0
Cle,81.0,81.0
Det,81.0,81.0
Hou,81.0,81.0
Kan,81.0,81.0
Min,81.0,81.0
NYY,81.0,81.0
Oak,81.0,81.0
Sea,81.0,81.0
Tam,81.0,81.0
Tex,81.0,81.0
Tor,81.0,81.0
Ari,81.0,81.0
Atl,81.0,81.0
ChC,81.0,81.0
Cin,81.0,81.0
Col,81.0,81.0
Mia,81.0,81.0
LAD,81.0,81.0
Mil,81.0,81.0
NYM,81.0,81.0
Phi,81.0,81.0
Pit,81.0,81.0
Sand,81.0,81.0
Sanf,81.0,81.0
StL,81.0,81.0
Was,81.0,81.0
