,LAA,Bal,Bos,ChW,Cle,Det,Hou,Kan,Min,NYY,Oak,Sea,Tam,Tex,Tor,Ari,Atl,ChC,Cin,Col,Mia,LAD,Mil,NYM,Phi,Pit,Sand,Sanf,StL,Was
0,.457,.383,.506,.383,.432,.346,.457,.444,.580,.531,.506,.457,.543,.383,.506,.506,.432,.593,.556,.568,.556,.432,.432,.543,.506,.506,.531,.617,.531,.506
1,.457,.383,.506,.543,.432,.346,.543,.543,.444,.531,.506,.568,.383,.580,.506,.506,.432,.593,.556,.568,.556,.432,.531,.543,.506,.506,.531,.617,.531,.506
2,.568,.383,.506,.543,.432,.346,.543,.543,.444,.531,.506,.568,.383,.580,.506,.506,.432,.593,.556,.432,.556,.432,.531,.543,.506,.444,.531,.617,.531,.506
3,.568,.593,.383,.543,.580,.568,.543,.543,.444,.346,.432,.568,.383,.580,.506,.506,.457,.506,.617,.432,.543,.506,.531,.432,.543,.444,.506,.531,.556,.506
4,.568,.593,.383,.457,.580,.568,.543,.506,.383,.346,.432,.531,.506,.556,.506,.432,.457,.506,.617,.432,.543,.506,.531,.432,.543,.444,.506,.531,.556,.506
5,.568,.593,.383,.457,.580,.568,.556,.506,.383,.346,.432,.531,.506,.556,.506,.432,.457,.506,.617,.432,.543,.506,.506,.432,.543,.531,.506,.531,.556,.506
6,.556,.543,.432,.457,.580,.432,.556,.383,.383,.457,.346,.531,.506,.556,.593,.506,.506,.506,.617,.432,.617,.506,.506,.543,.383,.531,.531,.444,.556,.506
7,.556,.543,.432,.457,.568,.432,.556,.383,.543,.457,.346,.506,.506,.506,.593,.506,.506,.568,.506,.432,.617,.432,.506,.543,.383,.531,.531,.444,.506,.580
8,.556,.543,.432,.457,.568,.432,.506,.383,.543,.457,.346,.506,.531,.506,.593,.506,.506,.568,.506,.506,.617,.432,.568,.543,.383,.556,.531,.444,.506,.580
9,.383,.543,.457,.457,.568,.506,.506,.568,.543,.531,.346,.506,.531,.506,.531,.444,.432,.568,.506,.506,.457,.432,.568,.543,.580,.556,.531,.543,.506,.580
10,.383,.383,.457,.531,.506,.506,.506,.568,.432,.531,.432,.346,.531,.432,.531,.444,.432,.506,.543,.506,.457,.543,.444,.593,.580,.556,.617,.543,.556,.506
11,.383,.383,.457,.531,.506,.506,.383,.568,.432,.457,.432,.346,.506,.432,.531,.444,.432,.506,.543,.506,.457,.543,.444,.593,.580,.556,.617,.543,.556,.506
12,.383,.383,.346,.506,.432,.506,.383,.543,.432,.457,.383,.346,.506,.432,.568,.506,.432,.556,.432,.506,.531,.543,.444,.432,.556,.506,.617,.543,.556,.506
13,.617,.531,.346,.506,.432,.580,.383,.543,.457,.457,.383,.543,.506,.593,.568,.506,.531,.556,.432,.506,.531,.506,.444,.432,.556,.506,.432,.543,.568,.506
14,.617,.531,.346,.506,.432,.580,.543,.543,.457,.506,.383,.543,.506,.593,.568,.506,.531,.556,.432,.506,.531,.506,.543,.432,.556,.506,.432,.617,.568,.506
15,.506,.531,.432,.383,.432,.580,.543,.543,.457,.506,.383,.543,.506,.593,.568,.432,.531,.506,.531,.556,.506,.432,.543,.383,.506,.556,.432,.617,.568,.506
16,.506,.568,.432,.383,.457,.506,.543,.531,.457,.506,.580,.543,.346,.568,.543,.432,.444,.506,.531,.556,.506,.432,.543,.383,.506,.556,.506,.617,.593,.432
17,.506,.568,.432,.383,.457,.506,.457,.531,.457,.506,.580,.531,.346,.568,.543,.432,.444,.506,.531,.556,.506,.432,.617,.383,.506,.556,.506,.617,.593,.432
18,.593,.568,.457,.531,.457,.506,.457,.531,.457,.506,.580,.531,.346,.568,.543,.568,.444,.506,.531,.432,.444,.432,.617,.506,.556,.543,.506,.506,.593,.432
19,.593,.383,.457,.531,.383,.543,.457,.568,.457,.506,.556,.531,.432,.580,.531,.568,.543,.506,.531,.432,.444,.506,.617,.506,.556,.543,.432,.506,.432,.506
20,.593,.383,.457,.568,.383,.543,.457,.568,.506,.506,.556,.346,.432,.580,.531,.568,.543,.506,.531,.432,.444,.506,.432,.506,.556,.543,.432,.506,.432,.506
21,.593,.383,.593,.568,.383,.543,.543,.568,.506,.531,.346,.346,.432,.580,.531,.432,.556,.506,.444,.432,.444,.506,.432,.506,.556,.506,.432,.506,.432,.506
