Teams,Road Games,Home Games
LAA,40.0,41.0
Bal,40.0,41.0
Bos,37.0,44.0
ChW,40.0,41.0
Cle,41.0,40.0
Det,42.0,39.0
Hou,44.0,37.0
Kan,37.0,44.0
Min,42.0,39.0
NYY,37.0,44.0
Oak,44.0,37.0
Sea,39.0,42.0
Tam,41.0,40.0
Tex,40.0,41.0
Tor,40.0,41.0
Ari,43.0,38.0
Atl,39.0,42.0
ChC,39.0,42.0
Cin,42.0,39.0
Col,40.0,41.0
Mia,42.0,39.0
LAD,43.0,38.0
Mil,43.0,38.0
NYM,43.0,38.0
Phi,38.0,43.0
Pit,37.0,44.0
Sand,41.0,40.0
Sanf,41.0,40.0
StL,39.0,42.0
Was,42.0,39.0
