Teams,Road Games,Home Games
LAA,66.0,74.0
Bal,70.0,70.0
Bos,67.0,73.0
ChW,72.0,68.0
Cle,72.0,68.0
Det,69.0,71.0
Hou,69.0,71.0
Kan,71.0,69.0
Min,68.0,72.0
NYY,69.0,71.0
Oak,75.0,65.0
Sea,72.0,68.0
Tam,71.0,69.0
Tex,71.0,69.0
Tor,73.0,67.0
Ari,74.0,66.0
Atl,66.0,74.0
ChC,68.0,72.0
Cin,71.0,69.0
Col,67.0,73.0
Mia,72.0,68.0
LAD,74.0,66.0
Mil,73.0,67.0
NYM,72.0,68.0
Phi,66.0,74.0
Pit,66.0,74.0
Sand,72.0,68.0
Sanf,66.0,74.0
StL,66.0,74.0
Was,70.0,70.0
